Channel 1 counts,Channel 3 power,Channel 4 flux,rr-active-state,RR position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,reconstruction_error,,SHAP_Channel 1 counts,SHAP_Channel 3 power,SHAP_Channel 4 flux,SHAP_rr-active-state,SHAP_RR position,SHAP_ss1-active-state,SHAP_SS1 position,SHAP_ss2-active-state,SHAP_SS2 position
0.767800037,0.618339079,0.007918673,1,0.001326141,1,0.839284893,1,0.597981307,0.25052922,348,0.008655373,0.00695312,0,0,0,0,0,0,0
0.767800037,0.61870229,0.007871113,1,0.001324546,1,0.835680803,1,0.595199166,0.249826114,349,0.008657609,0.006955319,0,0,0,0,0,0,0
0.767800037,0.618553312,0.007888288,1,0.00132295,1,0.833245822,1,0.592257039,0.249157119,350,0.008660158,0.006959327,0,0,0,0,0,0,0
0.767800037,0.618504063,0.007927921,1,0.001324546,1,0.830104934,1,0.58889575,0.248468893,351,0.008663225,0.006962147,0,0,0,0,0,0,0
0.767509423,0.618492982,0.007910746,1,0.00132295,1,0.827471665,1,0.586260795,0.247792545,352,0.008663831,0.006965213,0,0,0,0,0,0,0
0.768671876,0.618713371,0.007773352,1,0.001324546,1,0.824368848,1,0.583161883,0.24710614,353,0.008664314,0.006969602,0,0,0,0,0,0,0
0.76809065,0.618719527,0.00711016,1,0.001321354,1,0.819790766,1,0.580234154,0.24638678,354,0.008664641,0.006973793,0,0,0,0,0,0,0
0.767800037,0.618691209,0.006878967,1,0.001324546,1,0.817084526,1,0.577220034,0.245676924,355,0.008665289,0.006976664,0,0,0,0,0,0,0
0.767509423,0.618937454,0.006841977,1,0.001327737,1,0.815285654,1,0.574281107,0.244974257,356,0.00866362,0.006980992,0,0,0,0,0,0,0
0.769253103,0.619012558,0.006719114,1,0.001324546,1,0.812116213,1,0.571266986,0.244330537,357,0.008666873,0.006984614,0,0,0,0,0,0,0
0.769253103,0.619035952,0.006742894,1,0.001324546,1,0.809693922,1,0.568598434,0.243675062,358,0.008669568,0.006988325,0,0,0,0,0,0,0
0.76721881,0.61916523,0.006836692,1,0.001321354,1,0.80643882,1,0.565339536,0.242990345,359,0.008671683,0.006990023,0,0,0,0,0,0,0
0.76721881,0.618383403,0.006623995,1,0.001321354,1,0.803756375,1,0.562661385,0.242297836,360,0.008670934,0.006993964,0,0,0,0,0,0,0
0.767509423,0.61846097,0.005742821,1,0.001324546,1,0.800315675,1,0.559392888,0.241600328,361,0.008672941,0.006995551,0,0,0,0,0,0,0
0.769253103,0.618315686,0.00566884,1,0.001326141,1,0.797703027,1,0.55667794,0.240939249,362,0.008676456,0.006997385,0,0,0,0,0,0,0
